insolation,Temperature_MAX,Relative_Humidity,Precipitation,Specific_Humidity
4.63,26.05,76.48,0.0,12.05
4.6,24.82,67.23,0.0,9.73
4.73,24.86,70.85,0.0,9.94
4.56,24.95,71.19,0.0,10.39
4.62,24.83,74.63,0.0,10.41
4.62,25.59,69.05,0.0,9.87
4.6,25.44,67.8,0.0,10.17
4.63,25.08,67.01,0.0,9.88
4.49,24.97,70.33,0.0,10.05
4.54,24.64,73.43,0.0,10.41
4.42,23.83,74.57,0.0,10.14
4.47,23.95,70.81,0.0,9.71
4.45,23.89,71.89,0.0,9.83
4.27,22.67,74.62,0.0,9.86
2.57,23.92,80.43,0.0,10.89
0.5,21.21,90.98,22.43,12.68
1.73,24.93,90.89,14.52,14.82
3.79,26.06,88.8,0.49,14.99
4.15,26.35,81.65,0.03,13.43
3.97,26.55,77.61,0.0,12.58
4.13,26.79,77.05,0.0,12.85
4.2,26.4,74.23,0.0,11.8
4.26,26.35,74.43,0.0,11.75
4.24,26.23,74.57,0.0,11.33
4.29,25.16,72.65,0.0,10.52
4.42,23.69,64.98,0.0,8.6
4.24,23.29,66.81,0.0,8.41
4.34,23.83,74.19,0.0,9.52
4.27,24.42,75.57,0.0,10.36
4.21,24.19,74.49,0.0,10.56
4.19,24.89,77.93,0.0,11.25
4.0,24.66,75.13,0.0,10.72
4.29,24.7,71.07,0.0,10.03
4.36,24.34,70.7,0.0,9.18
4.46,23.29,69.81,0.0,8.39
4.42,24.24,73.04,0.0,9.43
4.232,24.28,73.99,0.0,9.88
4.46,24.14,71.36,0.0,9.33
4.06,23.67,74.59,0.0,9.73
3.47,21.86,80.77,0.1,10.78
4.35,22.88,74.12,0.01,9.82
4.45,24.18,66.07,0.0,8.72
4.39,22.86,72.11,0.0,8.75
4.56,22.99,68.17,0.0,8.46
4.57,23.03,63.21,0.0,7.66
4.59,22.93,61.93,0.0,7.38
4.58,22.57,64.08,0.0,7.66
4.62,22.32,61.88,0.0,7.28
4.63,22.89,62.13,0.0,7.45
4.6,23.11,60.54,0.0,7.31
4.5,24.13,61.73,0.0,7.88
4.46,24.37,67.43,0.0,8.76
4.51,24.19,64.0,0.0,8.32
4.75,24.65,61.22,0.0,7.8
4.8,24.53,64.1,0.0,8.21
4.77,24.64,63.03,0.0,8.53
4.86,24.44,55.64,0.0,7.25
4.9,24.12,56.16,0.0,7.14
4.9,24.82,61.88,0.0,8.12
4.88,24.88,62.46,0.0,8.55
4.83,24.6,64.8,0.0,8.8
4.81,24.78,71.56,0.0,9.9
4.84,25.85,72.35,0.0,10.65
4.78,25.3,69.84,0.0,10.01
4.97,25.39,64.76,0.0,9.45
4.85,24.93,63.93,0.0,8.89
5.13,24.83,62.19,0.0,8.67
5.11,25.26,57.22,0.0,8.08
5.19,26.06,51.29,0.0,6.82
5.19,27.84,56.78,0.0,7.88
5.23,27.45,54.74,0.0,7.87
5.25,27.73,57.6,0.0,8.38
5.17,26.81,64.39,0.0,9.77
5.21,27.75,70.95,0.0,10.98
5.1,27.47,73.91,0.0,11.89
5.16,28.32,65.95,0.0,11.1
4.55,28.59,64.67,0.0,10.88
3.91,28.68,59.88,0.0,10.48
3.85,29.69,66.31,0.0,11.72
5.16,29.6,71.63,0.01,13.01
3.84,25.76,72.14,0.0,11.93
5.36,28.67,56.18,0.0,9.12
5.19,27.45,53.84,0.0,8.73
5.27,29.0,57.63,0.0,9.87
5.58,28.68,59.67,0.0,9.62
5.53,28.34,58.96,0.0,9.68
5.59,29.96,55.94,0.0,9.32
5.68,29.99,59.79,0.0,10.56
5.63,29.73,66.92,0.0,11.75
5.63,30.34,66.59,0.0,12.06
5.68,31.44,58.76,0.0,11.09
5.8,31.89,51.92,0.0,9.69
5.84,32.27,55.31,0.0,10.72
5.85,32.99,56.2,0.0,10.89
5.87,34.11,49.75,0.0,10.15
5.34,33.76,52.0,0.01,11.06
5.95,34.16,53.02,0.1,11.35
5.96,33.75,57.98,0.03,12.14
5.88,33.97,56.45,0.02,12.08
5.82,34.84,51.51,0.03,11.31
5.91,35.49,50.53,0.01,11.53
5.92,35.91,48.41,0.0,11.22
5.89,35.6,52.8,0.0,12.2
5.85,34.15,60.91,0.01,13.89
5.89,34.18,58.63,0.01,13.0
5.99,33.48,58.63,0.0,12.58
5.71,34.4,55.36,0.0,12.41
6.18,35.82,52.22,0.0,11.94
5.96,34.89,56.37,0.0,12.72
5.74,35.51,56.14,0.01,13.14
6.2,36.83,49.44,0.01,12.07
6.33,36.47,45.35,0.0,10.76
5.62,37.13,53.64,0.0,13.15
2.33,35.15,48.43,0.37,11.92
6.04,34.48,49.07,0.14,11.41
6.28,35.45,51.98,0.0,12.53
6.28,36.52,48.11,0.0,11.71
6.48,37.5,40.19,0.0,10.2
6.28,36.63,51.57,0.0,12.86
6.14,36.51,60.37,0.07,15.25
6.2,36.65,61.09,0.17,15.83
6.41,36.68,62.76,0.16,16.23
5.99,35.57,64.84,0.28,16.24
6.37,36.65,55.55,0.19,14.24
6.58,37.22,53.74,0.0,13.98
6.63,37.5,55.19,0.07,14.33
6.42,36.42,63.9,0.33,16.41
6.29,36.04,65.61,0.56,16.89
6.38,36.24,66.97,1.56,17.09
6.44,36.16,64.42,5.5,16.33
6.18,32.41,63.47,3.79,14.3
6.26,33.91,65.7,1.48,15.35
6.1,33.41,70.47,6.5,16.86
6.53,34.5,69.51,4.82,17.06
6.49,35.08,68.03,2.61,17.03
5.81,30.92,77.7,8.21,17.95
6.0,32.16,72.89,4.13,16.66
4.98,34.03,63.9,2.87,15.46
6.5,35.34,60.05,0.67,15.1
6.69,37.03,56.37,0.15,15.05
4.69,36.9,58.18,1.3,15.69
6.67,37.49,56.62,1.88,15.62
4.98,38.03,56.17,0.87,15.95
6.77,38.5,52.46,1.79,15.09
6.79,39.3,52.27,0.37,15.59
6.76,39.16,55.17,0.56,16.51
6.81,39.2,58.44,2.95,17.17
6.3,39.17,58.9,0.7,17.45
6.77,38.33,61.97,1.13,18.29
6.85,39.28,58.72,1.37,17.64
6.9,39.48,58.47,1.13,17.51
6.44,37.89,61.95,6.14,17.91
6.77,37.24,62.4,4.33,17.48
7.0,39.09,54.26,0.3,15.77
6.95,38.22,61.15,2.69,17.04
6.79,37.15,62.14,4.77,17.01
6.71,36.1,64.87,5.03,17.27
6.15,36.99,66.84,8.82,18.13
6.26,35.14,74.06,25.72,19.42
4.9,32.86,79.03,21.0,19.91
6.77,36.13,71.34,4.0,18.9
6.36,33.06,74.61,4.91,18.85
6.73,36.34,66.54,0.27,17.62
6.77,37.54,66.82,0.28,18.68
6.68,38.94,64.46,0.09,18.93
5.46,40.32,58.67,0.05,18.14
6.73,39.29,60.88,0.13,18.58
6.72,38.96,60.77,0.2,18.48
6.72,38.03,61.29,0.08,17.99
6.32,37.94,63.6,1.88,18.41
6.82,37.95,63.88,4.37,18.43
6.79,36.22,70.94,16.7,19.72
2.79,32.77,72.99,16.37,18.25
6.79,35.47,65.18,8.04,16.79
5.95,35.86,68.91,5.34,18.41
6.77,36.42,70.61,10.52,19.28
6.8,38.14,65.16,3.14,18.67
6.39,35.58,70.76,5.54,19.15
6.73,36.34,69.4,3.4,19.23
6.55,34.1,76.19,8.02,20.05
6.73,35.14,73.86,4.29,19.83
3.18,31.28,82.47,8.58,20.4
6.7,31.31,83.32,7.77,20.52
6.57,33.81,77.67,2.28,20.29
6.29,33.34,79.69,0.59,20.7
6.74,34.3,75.67,0.35,20.21
6.48,35.69,71.94,0.15,19.85
5.98,33.77,79.15,0.9,21.42
6.65,34.91,75.01,0.55,20.83
3.55,34.72,75.39,0.63,20.77
4.57,31.65,80.81,2.18,20.9
5.75,32.51,80.54,2.41,21.02
5.83,33.5,77.0,0.88,20.69
5.78,32.71,78.06,0.8,20.84
4.63,33.23,78.02,2.98,20.88
5.04,32.05,78.95,1.38,20.73
6.06,34.82,72.07,0.71,20.41
3.73,32.77,78.09,7.21,20.91
3.7,33.17,76.56,3.62,20.28
4.53,33.18,75.87,2.96,20.29
3.23,33.44,77.16,4.54,20.55
1.16,32.47,81.31,9.69,21.2
4.62,36.64,71.14,1.24,20.18
5.97,35.64,68.95,1.52,20.12
6.62,39.81,59.06,0.18,18.84
6.54,40.0,56.77,0.27,18.35
6.53,39.67,55.66,0.23,18.09
6.57,38.89,56.62,0.2,18.26
6.54,37.11,62.73,2.05,19.23
6.11,33.86,72.6,2.84,20.65
1.55,32.26,76.44,8.5,20.25
5.38,30.81,82.88,23.83,20.19
3.27,31.87,78.71,6.03,19.67
3.68,31.6,82.79,9.65,20.88
1.29,31.46,84.35,19.73,21.22
1.26,31.5,81.49,21.93,20.43
0.72,29.37,87.67,33.2,20.19
2.34,30.3,85.81,32.04,19.99
4.32,31.33,81.03,5.69,19.53
5.26,32.49,79.81,2.06,19.96
4.47,30.98,84.38,9.43,20.3
4.27,31.76,82.22,3.41,20.27
3.81,31.45,83.8,3.78,20.78
1.27,31.05,83.74,3.65,20.46
3.7,31.61,81.52,3.32,20.06
4.97,31.1,82.24,7.12,19.94
3.56,31.94,82.54,10.51,20.34
5.06,31.44,83.75,4.48,20.4
4.37,31.77,84.8,2.04,21.13
3.85,32.01,82.45,5.07,20.97
2.55,31.73,80.63,1.78,20.42
3.52,31.39,82.22,5.96,20.39
5.16,32.44,83.84,7.7,21.37
2.5,31.31,85.25,26.35,21.39
2.77,30.42,89.97,38.19,21.9
0.69,30.29,89.06,57.45,22.03
3.54,31.82,85.68,11.14,21.53
3.1,31.98,83.91,8.24,21.28
3.07,30.61,87.09,13.63,21.44
0.87,30.99,87.95,33.88,21.97
1.44,30.4,90.97,174.32,22.03
1.0,30.58,86.61,43.93,20.78
4.74,31.91,84.9,2.84,21.23
3.17,30.99,85.38,3.55,21.0
3.88,30.47,86.08,4.34,21.01
2.8,30.59,86.78,7.76,21.09
4.58,31.35,82.91,1.09,19.99
5.01,31.73,82.29,0.67,20.19
4.37,31.25,85.06,7.79,20.92
2.06,30.63,87.91,23.19,21.27
1.07,30.07,86.95,9.88,20.25
2.27,30.01,85.56,4.1,20.15
3.15,30.84,84.69,2.94,20.15
5.27,31.21,85.31,4.74,20.38
5.76,32.02,83.28,1.73,20.47
4.29,29.57,89.12,25.99,20.77
1.6,28.67,90.72,47.02,20.55
0.66,28.85,91.34,72.93,20.55
4.78,29.86,87.4,5.54,20.52
4.55,31.54,82.12,1.59,19.75
5.91,31.82,84.46,4.51,21.07
3.9,31.35,86.63,2.93,21.56
3.31,31.35,84.72,6.19,21.29
4.33,31.92,84.45,15.84,21.24
2.5,31.7,87.94,17.41,22.08
3.18,31.52,88.2,8.43,21.65
4.65,29.57,89.94,13.46,21.32
5.03,31.06,85.64,5.52,21.04
4.81,30.14,87.95,9.0,21.26
4.84,31.18,87.96,13.55,21.54
1.92,30.14,87.22,6.87,21.06
4.57,31.28,85.05,4.52,21.33
3.48,30.29,84.66,1.04,20.11
3.92,31.79,83.5,2.46,20.54
4.81,30.2,87.44,7.95,21.14
2.09,30.74,87.17,12.71,20.91
0.72,30.13,89.87,20.58,21.2
3.42,30.6,88.47,8.47,21.08
3.43,30.59,85.35,2.7,20.06
3.99,30.37,83.74,4.08,19.54
3.6,29.71,87.63,1.59,20.49
2.06,29.58,88.15,12.25,20.55
3.65,28.85,90.61,29.87,20.7
3.26,29.73,88.38,7.93,20.28
5.13,29.8,87.78,5.4,20.16
3.13,29.92,87.5,5.91,20.26
1.06,28.97,90.83,67.76,20.28
1.6,30.09,88.73,53.8,20.3
4.34,30.25,87.23,5.53,20.2
4.74,31.15,82.12,0.41,19.4
5.82,31.49,84.12,0.61,20.16
5.15,30.89,83.67,2.22,19.92
5.16,29.76,85.97,10.39,19.83
5.96,30.95,83.89,1.5,19.71
5.92,30.98,84.51,0.59,20.14
5.3,28.91,85.9,1.98,19.14
5.6,30.96,85.73,4.42,20.04
2.81,28.95,88.3,11.38,19.99
5.97,29.79,86.67,3.86,19.97
5.71,31.34,83.05,2.14,20.22
5.28,30.15,87.94,11.95,20.7
1.1,29.26,92.38,60.41,21.16
1.83,28.22,89.39,25.93,20.08
4.05,28.38,90.27,7.35,20.05
4.95,29.53,86.5,7.75,19.49
5.93,30.8,84.51,1.44,19.71
5.87,29.98,87.72,3.92,20.29
4.89,30.3,86.29,4.2,20.12
5.08,30.92,83.08,1.07,19.6
5.43,31.44,81.97,0.32,19.71
5.42,31.85,81.12,0.02,20.08
5.43,31.23,81.31,0.01,20.09
5.75,31.86,81.21,0.0,19.92
5.97,32.36,76.37,0.0,18.78
5.92,32.1,75.52,0.0,18.15
5.99,31.91,74.71,0.0,18.05
5.88,31.93,74.56,0.0,17.83
5.55,31.74,74.9,0.0,17.86
5.94,31.34,73.07,0.0,17.02
6.06,31.02,74.92,0.0,16.67
4.47,29.98,82.47,0.63,17.44
1.05,26.66,93.4,47.28,19.13
1.7,27.82,89.51,95.92,19.14
1.63,28.17,87.82,28.34,19.27
2.88,29.27,84.78,2.69,19.19
5.25,28.37,84.55,0.01,17.91
5.0,29.09,78.96,0.01,16.79
5.7,28.72,75.71,0.0,15.13
5.69,29.62,73.11,0.0,14.59
5.71,30.08,75.52,0.0,15.6
5.48,30.8,74.9,0.0,16.31
5.57,30.69,74.52,0.0,16.3
5.55,30.19,73.15,0.0,15.28
5.49,30.49,69.32,0.0,14.8
5.13,30.74,74.79,0.22,16.33
5.03,30.44,75.31,0.41,16.24
5.54,29.45,68.32,0.04,13.8
5.56,29.38,60.17,0.0,11.59
5.5,28.5,68.76,0.0,12.79
3.14,27.11,79.95,0.87,14.17
4.07,26.33,89.83,2.45,16.2
3.16,26.76,90.62,1.01,16.65
4.55,28.63,85.56,0.19,16.75
4.64,28.39,86.38,0.03,17.05
4.8,28.63,85.11,0.11,16.88
4.75,29.63,78.83,0.04,16.46
4.98,29.86,78.57,0.01,16.41
4.98,30.1,77.58,0.01,16.31
4.89,29.99,79.15,0.01,16.7
4.52,29.97,78.91,0.03,16.66
4.5,28.72,80.42,0.0,16.39
4.35,28.34,78.09,0.0,15.48
4.88,28.05,75.07,0.0,14.47
4.6,27.59,77.32,0.0,13.68
4.19,27.06,78.72,0.0,13.26
4.75,27.72,76.2,0.0,13.32
4.74,28.12,76.33,0.0,13.51
4.76,28.81,69.9,0.0,13.07
4.79,29.45,65.99,0.0,12.47
4.75,29.0,66.46,0.0,12.44
4.72,28.52,72.41,0.0,13.22
4.65,28.14,73.95,0.0,13.55
3.65,28.32,73.0,0.0,13.97
4.58,28.07,72.7,0.0,13.19
4.42,27.42,67.17,0.0,12.02
4.02,26.75,70.6,0.0,11.58
4.71,26.37,68.17,0.0,10.25
4.71,26.03,64.29,0.0,9.5
4.68,25.67,61.93,0.0,9.44
4.29,25.86,72.17,0.0,11.45
4.5,25.99,77.6,0.0,12.6
4.34,25.95,75.61,0.0,12.42
4.09,25.85,74.77,0.0,12.21
4.12,26.42,67.93,0.0,11.55
3.98,25.72,71.79,0.0,11.65
4.31,25.8,70.94,0.0,11.39
4.18,25.63,73.24,0.0,11.24
4.18,26.04,72.79,0.0,11.83
3.9,26.37,70.02,0.0,11.98
4.33,25.9,68.48,0.0,10.89
4.14,25.5,73.95,0.0,11.24
4.33,25.45,71.34,0.0,10.78
4.27,25.68,67.05,0.01,10.02
3.91,25.92,69.82,0.0,10.63
4.2,26.54,74.96,0.0,11.77
3.67,26.44,76.28,0.0,12.13
4.01,25.99,76.37,0.0,11.86
2.54,25.08,71.23,0.0,10.37
1.57,21.32,77.45,1.8,10.32
1.2,22.98,87.69,10.58,12.4
0.8,26.56,89.25,26.41,14.71
2.9,23.09,80.42,0.11,11.21
4.29,23.56,75.23,0.0,10.18
4.34,23.72,72.91,0.0,9.72
4.24,23.08,68.32,0.0,8.61
4.45,23.12,60.03,0.0,7.25
4.4,23.38,61.05,0.0,7.39
4.39,23.93,64.3,0.0,7.94
4.31,23.87,63.92,0.0,8.1
3.92,24.0,66.02,0.17,9.07
3.08,23.14,70.71,0.63,9.49
4.43,22.26,60.82,0.0,7.04
4.56,22.3,62.27,0.0,6.6
4.49,22.54,62.86,0.0,6.85
4.52,23.2,61.82,0.0,7.19
4.48,23.7,62.66,0.0,7.68
4.47,24.59,63.46,0.0,7.82
4.49,24.05,64.13,0.0,7.85
4.42,23.63,61.62,0.0,7.71
4.53,24.79,62.86,0.0,8.09
4.55,25.33,59.28,0.0,7.96
4.46,25.2,67.24,0.0,8.79
4.53,24.81,66.31,0.0,8.7
4.6,24.51,64.0,0.0,8.47
4.2,23.9,70.65,0.0,9.47
4.48,24.24,65.12,0.0,8.74
4.55,24.86,63.55,0.0,8.86
4.24,25.68,66.92,0.0,9.45
4.62,25.1,71.0,0.0,9.75
4.66,24.21,68.6,0.0,9.15
4.72,24.4,62.37,0.0,8.35
4.75,26.01,58.78,0.0,8.14
4.73,25.83,57.13,0.0,7.88
4.75,26.19,53.46,0.0,7.56
4.82,27.22,58.12,0.0,8.22
4.72,27.29,70.87,0.0,10.7
4.8,27.37,73.44,0.0,11.17
4.61,27.95,69.34,0.0,10.53
4.88,27.62,70.92,0.0,10.67
3.75,27.2,68.87,0.0,10.93
1.06,26.67,70.87,0.01,10.83
1.91,25.99,71.11,0.0,11.09
4.36,26.44,62.71,0.0,9.45
5.17,25.09,54.97,0.0,6.95
5.15,25.5,52.45,0.0,6.9
5.23,27.11,48.17,0.0,6.84
5.17,27.92,46.96,0.0,7.05
5.2,28.26,53.18,0.0,8.27
5.21,29.1,52.68,0.0,8.69
5.23,29.0,51.45,0.0,8.38
5.14,29.74,53.07,0.0,8.91
5.19,29.86,60.82,0.0,10.64
4.44,29.77,68.71,0.01,12.14
4.96,29.66,68.37,0.04,12.36
5.27,27.5,50.77,0.0,7.54
5.48,27.25,50.85,0.0,7.57
5.52,28.02,50.74,0.0,7.68
5.46,29.01,51.75,0.0,8.26
5.5,30.61,56.73,0.0,9.82
5.41,31.2,61.38,0.0,11.19
4.03,29.76,64.86,2.43,11.66
5.33,30.85,61.94,0.71,11.75
5.62,30.71,46.6,0.01,8.19
5.55,31.99,60.22,0.06,11.7
5.57,33.19,67.86,0.33,13.92
5.58,33.17,63.65,0.27,13.47
5.69,35.39,54.43,0.02,12.27
5.52,35.81,57.11,0.21,13.65
5.63,34.39,57.04,0.35,13.11
4.18,33.38,69.82,4.07,15.57
4.75,32.61,70.75,2.26,15.37
4.86,31.38,71.47,3.36,15.28
4.96,30.58,69.29,5.2,14.19
5.44,28.83,68.18,1.53,12.67
5.43,30.1,61.63,0.0,11.41
5.53,31.56,63.22,0.0,12.56
5.17,32.71,70.24,0.37,15.47
5.17,33.22,70.98,1.79,16.55
5.16,32.34,73.14,1.93,16.72
5.81,31.7,66.65,0.3,14.49
5.79,32.07,59.09,0.0,12.34
6.04,33.25,59.86,0.0,12.88
5.89,34.01,67.19,0.0,15.14
5.87,35.7,62.62,0.01,15.35
5.98,36.04,64.19,0.42,16.03
5.95,37.3,59.79,0.69,15.79
5.93,36.52,61.14,0.71,15.8
4.95,34.92,61.7,2.43,15.1
6.1,35.35,59.66,1.55,14.62
5.807,36.47,55.1,0.34,13.99
4.83,34.09,61.15,2.65,14.42
6.09,34.73,56.59,0.08,13.57
5.97,34.78,60.01,0.62,14.71
6.16,35.65,61.24,1.17,15.59
6.11,36.92,53.56,0.68,14.36
6.25,36.92,51.25,0.06,13.83
6.54,37.39,47.17,0.02,12.39
6.54,37.42,52.69,0.06,13.76
6.51,37.08,54.47,0.11,14.17
6.4,36.11,56.34,0.2,14.3
6.55,36.81,55.27,0.02,14.1
6.48,36.97,57.44,0.1,14.85
6.53,37.9,54.94,0.25,14.92
6.44,38.08,59.61,0.87,16.27
6.45,37.93,59.16,1.28,16.22
6.53,38.24,55.5,0.57,15.4
6.66,38.21,56.86,0.09,15.46
6.57,37.9,56.76,0.06,15.5
6.62,40.05,52.03,0.18,15.04
6.4,39.48,51.71,0.69,15.12
5.97,37.67,55.22,1.82,15.39
5.51,37.44,59.58,2.72,16.28
6.44,37.91,59.22,1.89,16.37
6.72,38.49,60.05,1.17,16.76
6.67,39.65,54.32,1.39,15.79
6.76,39.02,55.58,3.38,16.01
6.73,40.29,47.46,0.8,14.36
6.77,40.37,50.04,0.48,15.28
6.42,40.7,50.16,0.28,15.59
6.79,41.96,44.78,0.24,14.44
6.91,40.98,47.55,0.15,14.41
6.83,38.71,52.75,0.32,14.9
5.51,38.07,53.33,1.71,15.11
6.87,37.61,51.13,1.19,14.45
5.05,38.41,56.32,5.58,16.15
6.54,36.6,62.27,11.26,17.1
6.92,36.96,60.83,5.01,16.71
6.92,38.29,56.56,1.1,16.19
6.95,39.0,56.02,0.77,16.4
6.92,39.64,57.27,0.6,17.34
6.83,40.8,55.13,0.94,17.39
6.94,39.95,57.48,0.13,17.82
6.95,39.68,59.6,0.02,18.03
6.97,38.52,58.54,0.22,17.01
6.3,34.32,69.57,0.8,18.53
2.7,33.44,70.95,50.94,18.83
1.7,28.88,89.26,114.97,19.55
6.16,34.28,73.11,0.54,17.76
6.07,33.62,79.51,2.06,20.38
6.75,36.01,71.97,1.41,19.44
6.99,36.27,70.2,1.83,18.85
6.74,36.49,70.1,0.19,19.47
6.93,38.32,64.34,0.18,18.79
6.91,37.9,65.59,0.49,18.93
6.79,36.38,73.27,0.89,20.57
6.63,36.99,69.94,2.13,20.05
6.82,37.96,65.27,1.22,19.23
6.71,37.98,65.48,2.17,19.13
6.79,36.86,68.05,4.13,19.22
6.81,36.67,69.88,4.04,19.6
6.77,36.13,69.53,0.23,19.8
6.88,38.71,65.49,0.11,19.45
6.73,37.89,68.12,0.22,20.37
6.68,36.3,69.17,0.1,19.8
6.72,35.94,70.03,0.38,19.72
6.77,37.57,66.81,0.33,19.35
5.63,36.1,70.52,0.85,19.69
6.62,38.48,65.35,0.84,19.42
6.88,39.42,64.56,0.84,19.65
6.64,37.95,67.39,2.06,20.58
6.73,37.37,67.78,0.61,20.57
6.76,38.52,63.19,0.39,19.27
6.69,37.74,62.89,0.71,19.19
6.75,37.99,63.25,0.23,19.21
6.59,37.43,68.16,1.8,20.18
6.27,37.33,66.88,2.91,19.75
6.01,36.58,69.64,2.41,20.5
4.55,33.18,77.81,7.19,20.9
6.6,36.07,70.96,1.15,20.18
6.38,36.29,73.2,8.47,21.05
5.52,34.52,76.76,4.38,21.22
2.02,33.16,79.84,2.47,21.62
4.15,35.91,70.9,0.63,20.41
5.66,35.34,73.37,0.9,21.08
6.15,37.37,68.76,2.38,20.57
6.62,40.02,61.01,1.43,19.47
6.58,38.04,66.1,4.64,20.54
4.75,38.84,66.59,8.89,20.21
6.49,37.54,64.27,2.82,19.97
3.59,33.64,76.53,5.11,21.38
2.59,35.9,70.51,4.39,20.5
5.18,36.23,66.8,1.85,19.64
4.79,36.29,69.88,5.78,20.3
5.47,33.82,76.96,5.47,21.14
1.98,31.28,82.34,14.13,21.09
1.48,30.61,86.84,34.05,21.14
5.24,31.5,82.03,7.86,20.45
5.58,32.56,79.64,2.2,20.69
5.99,34.89,74.75,0.43,20.51
6.23,34.48,75.45,0.12,20.66
6.16,34.13,76.42,0.09,20.99
5.32,34.03,77.87,8.17,21.52
3.23,33.01,80.45,8.75,21.91
2.03,33.29,79.85,10.39,21.11
2.98,30.6,84.57,5.29,20.79
0.49,32.93,79.22,22.48,20.43
2.23,31.81,81.35,27.56,20.74
3.29,33.27,78.59,3.83,20.77
2.66,33.22,77.4,6.08,20.37
2.2,31.29,85.33,27.07,21.22
1.54,29.92,82.74,20.52,19.79
3.56,33.67,78.22,2.23,20.32
4.02,33.21,82.03,2.6,21.31
5.24,30.1,87.13,9.05,21.3
3.18,31.86,84.9,3.77,21.29
4.288,30.66,86.72,1.21,21.11
4.57,30.82,85.7,2.66,20.94
4.46,31.0,86.79,4.93,21.28
6.2,32.55,83.0,0.67,21.29
4.02,33.27,80.3,1.6,21.11
6.09,29.67,86.77,4.38,21.06
6.45,33.04,81.75,5.74,21.33
5.57,31.97,83.9,12.69,21.45
3.81,32.09,83.16,5.32,20.67
4.29,32.02,82.69,1.81,20.73
6.0,31.94,80.77,0.67,20.35
4.293,32.04,80.3,0.51,20.24
5.97,31.53,80.88,0.68,20.08
5.67,33.12,79.33,8.44,20.49
1.13,29.46,91.09,41.9,21.96
1.21,31.34,84.47,26.47,20.79
2.83,29.89,86.49,18.0,20.32
2.14,30.72,85.68,18.81,20.43
2.59,29.92,86.53,24.72,20.29
3.91,30.72,82.13,0.67,19.39
3.38,29.58,84.83,2.97,20.03
2.55,31.61,83.05,2.5,20.41
3.31,31.44,84.38,2.42,20.83
2.72,31.07,85.47,4.26,20.84
3.56,32.9,81.64,9.8,20.88
3.29,30.4,85.23,34.39,20.43
2.53,30.34,90.02,34.33,22.24
1.11,29.55,90.71,52.82,21.55
3.42,31.13,86.43,12.07,20.88
5.58,32.21,84.21,2.15,21.25
5.94,32.35,81.87,1.28,20.77
4.0,32.1,84.95,4.94,21.5
0.82,29.44,91.48,37.8,21.51
3.03,30.23,89.46,8.39,21.15
4.07,31.11,86.47,0.6,21.05
4.61,30.29,87.59,0.46,21.12
4.97,30.75,88.23,2.54,21.43
3.01,29.49,90.46,12.53,21.18
2.35,29.68,90.27,15.28,20.78
5.32,31.36,85.12,0.6,20.59
4.44,31.33,86.94,1.74,21.55
3.15,29.91,88.19,4.06,21.13
4.63,31.2,83.15,8.61,20.08
1.83,30.81,86.44,7.86,20.69
3.63,32.25,82.04,4.31,20.32
1.41,28.54,89.7,22.55,20.55
2.92,29.26,89.25,10.3,20.5
2.59,30.59,85.01,4.89,20.16
1.48,30.98,84.12,3.42,20.23
4.18,29.72,87.95,6.83,20.41
4.72,31.48,86.09,2.41,20.98
4.74,30.55,87.49,2.18,21.0
5.1,30.56,85.08,5.13,20.65
2.5,29.7,88.99,12.83,20.66
3.95,31.13,87.29,25.76,20.95
4.73,30.01,88.09,16.4,20.98
3.48,31.77,85.69,14.94,21.37
1.78,31.73,87.62,37.02,22.14
3.66,30.65,89.5,24.28,22.05
4.91,31.15,89.01,12.17,21.78
3.76,30.78,88.78,3.01,21.7
2.37,29.77,91.38,5.94,21.83
1.98,29.29,92.0,14.79,21.56
0.81,29.24,91.3,10.48,21.03
4.73,30.29,87.88,1.0,20.66
5.6,30.04,89.34,1.53,20.71
5.07,31.48,86.43,1.88,20.73
5.18,30.54,88.72,1.39,21.03
4.89,30.96,86.67,1.9,20.64
4.98,30.54,88.45,4.71,20.76
4.83,30.5,87.9,1.92,20.74
5.51,30.87,84.88,1.03,20.15
5.85,31.32,81.51,0.32,19.55
4.7,30.82,83.36,4.06,19.81
2.56,29.72,89.28,16.71,20.4
1.72,29.13,92.83,28.86,20.84
1.6,27.84,91.42,49.1,20.11
3.82,28.81,89.18,17.41,19.48
3.63,27.79,88.33,10.43,18.48
1.22,28.03,90.48,9.42,19.06
4.03,27.72,90.66,14.68,19.04
3.37,28.89,87.4,0.94,18.89
5.18,29.48,87.9,3.06,19.56
5.73,31.18,83.96,2.71,19.4
5.3,29.9,85.3,1.22,19.59
5.02,29.79,82.93,0.79,18.83
4.95,29.9,80.84,0.81,18.29
5.35,30.13,83.48,2.76,19.18
4.9,29.19,85.08,8.21,19.03
3.72,27.97,86.73,8.51,18.49
4.29,29.15,83.47,3.73,18.03
4.39,29.97,84.06,3.42,18.61
4.83,29.32,86.55,7.25,19.26
4.68,28.85,88.44,5.59,18.91
5.3,29.76,83.35,2.82,18.04
5.2,30.44,82.31,2.95,18.24
5.32,29.55,83.31,0.59,17.68
5.23,29.24,86.58,5.89,18.1
4.47,28.65,86.13,4.84,18.28
5.28,30.04,83.59,0.49,18.38
5.26,30.51,81.63,0.37,18.07
5.03,30.77,79.25,0.61,18.01
5.19,31.17,77.84,0.43,17.89
